temp,label
31.5035,1
31.46443333,2
31.41848333,3
31.40283333,4
31.3972,5
31.3491,6
31.38246667,7
31.52083333,8
31.58876667,9
31.65833333,10
31.7333,11
31.74913333,12
31.7719,13
31.77238333,14
31.76075,15
31.76791667,16
31.7612,17
31.74905,18
31.7477,19
31.75041667,20
31.7372,21
31.70903333,22
31.6774,23
31.57243333,24
31.57243333,25
31.5256,26
31.4866,27
31.45516667,28
31.4289,29
31.3959,30
31.33215,31
31.30413333,32
31.2844,33
31.2844,34
31.274,35
31.26056667,36
31.20076667,37
31.05373333,38
30.94431667,39
30.87201667,40
30.78441667,41
30.72260656,42
30.66471667,43
30.60137288,44
30.60137288,45
30.54733333,46
30.46211475,47
30.39345763,48
29.65105,49
28.18268333,50